exercise_name,exercise_url,body_part,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers
Machine-assisted Pull-up (open-centered bar),https://exrx.net/WeightExercises/LatissimusDorsi/AsPullupOpenKneeling,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Rhomboids; Levator Scapulae; Pectoralis Minor; Trapezius, Lower; Pectoralis Major, Sternal; Coracobrachialis","Triceps, Long Head",,
"Machine-assisted Pull-up (open-centered bar, standing)",https://exrx.net/WeightExercises/LatissimusDorsi/AsPullupOpen,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Rhomboids; Levator Scapulae; Pectoralis Minor; Trapezius, Lower; Pectoralis Major, Sternal; Coracobrachialis","Triceps, Long Head",,
Machine-assisted Parallel Close Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsCloseGripChinupKneeling,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Middle; Trapezius, Lower; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Barbell Pullover,https://exrx.net/WeightExercises/LatissimusDorsi/BBPullover,Back,Latissimus Dorsi,"Pectoralis        Major, Sternal; Triceps, Long        Head; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Pectoralis Minor",,"Triceps Brachii; Deltoid, Anterior; Pectoralis        Major, Clavicular; Wrist Flexors",
Cable Bent-over Pullover,https://exrx.net/WeightExercises/LatissimusDorsi/CBBentoverPullover,Back,Latissimus Dorsi,"Pectoralis          Major, Sternal; Triceps, Long          Head; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Pectoralis Minor",,"Triceps Brachii; Pectoralis          Major, Clavicular; Rectus Abdominis; Obliques; Wrist Flexors",
Cable Close Grip Pulldown,https://exrx.net/WeightExercises/LatissimusDorsi/CBCloseGripPulldown,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Cable Pulldown,https://exrx.net/WeightExercises/LatissimusDorsi/CBFrontPulldown,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Cable Parallel Grip Pulldown,https://exrx.net/WeightExercises/LatissimusDorsi/CBParallelGripPulldown,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Cable Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/CBUnderhandChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Cable Parallel Close Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/CBParallelCloseGripChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Cable Parallel Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/CBParallelGripChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Cable Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/CBPullup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Cable Underhand Pulldown,https://exrx.net/WeightExercises/LatissimusDorsi/CBUnderhandPulldown,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Lever Isolateral Pulldown (plate loaded),https://exrx.net/WeightExercises/LatissimusDorsi/LVPulldownH,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Rhomboids; Levator Scapulae; Pectoralis Minor; Trapezius, Lower; Pectoralis Major, Sternal; Coracobrachialis","Triceps, Long Head",,
Lever Isolateral Underhand Pulldown (plate loaded),https://exrx.net/WeightExercises/LatissimusDorsi/LVUnderhandPulldownH,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
