exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Lever Deadlift (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVDeadlift,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Middle; Trapezius, Upper; Levator Scapulae; Rhomboids",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Lever Stiff Leg Deadlift (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVStiffLegDeadlift,Gluteus Maximus,Erector Spinae; Adductor Magnus; Hamstrings,,"Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Lever Straight-back Stiff-leg Deadlift (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVStrBackStiffLegDeadlift,Gluteus Maximus,Hamstrings; Adductor Magnus,,"Erector Spinae; Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Lever 45° Leg Press (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LV45LegPress,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,,,,,
Lever Lying Leg Press (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVLyingLegPressH,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Seated Leg Press (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVSeatedLegPressH,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,,,,,
Lever Lying Hip Extension (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVLyingHipExtensionH,Gluteus Maximus,Adductor Magnus,Hamstrings,,Rectus Abdominis,,,,,Erector Spinae,,,,,,,,,,,,,,,,,,
Lever Reverse Hyper-extension (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVReverseHyperextension,Gluteus Maximus,Hamstrings,,Erector Spinae,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Lever Single Leg Split Squat (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVSingleLegSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Gluteus Medius; Gluteus Minimus",,,,,,,,,,,,,,,,,,,,,,,,
Lever Single Leg Squat (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVSingleLegSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Lever Split Squat (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Gluteus Medius; Gluteus Minimus",,,,,,,,,,,,,,,,,,,,,,,,
Lever Squat (plate loaded),https://exrx.net/WeightExercises/GluteusMaximus/LVSquatPL,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Front Squat,https://exrx.net/WeightExercises/GluteusMaximus/LVFrontSquatPL,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Bent-over Hip Extension,https://exrx.net/WeightExercises/GluteusMaximus/LVBentOverHipExtension,Gluteus Maximus,Adductor Magnus,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus,Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
Lever Lying Hip Extension,https://exrx.net/WeightExercises/GluteusMaximus/LVLyingHipExtension,Gluteus Maximus,Adductor Magnus,,Erector Spinae,,Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,
Lever Standing Hip Extension,https://exrx.net/WeightExercises/GluteusMaximus/LVStandingHipExtension,Gluteus Maximus,Hamstrings; Adductor Magnus,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus,Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
Lever Standing Hip Extension (with abdominal pad),https://exrx.net/WeightExercises/GluteusMaximus/LVStandingHipExtensionTech,Gluteus Maximus,Adductor Magnus,Hamstrings,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Triceps Brachii,Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Leg Press,https://exrx.net/WeightExercises/GluteusMaximus/LVSeatedLegPress,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,,,,,
Lever Bent-over Glute Kickback,https://exrx.net/WeightExercises/GluteusMaximus/LVBentOverRearKick,Gluteus Maximus,Adductor Magnus; Quadriceps,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Coracobrachialis,Hamstrings,,,,,,,,,,,,,,,,,,,,,,,
Lever Kneeling Glute Kickback,https://exrx.net/WeightExercises/GluteusMaximus/LVKneelingHipExtension,Gluteus Maximus,Adductor Magnus,,Erector Spinae; Quadratus Lumborum; Obliques; Gluteus Medius; Gluteus Minimus; Coracobrachialis,Hamstrings; Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
Lever Standing Glute Kickback,https://exrx.net/WeightExercises/GluteusMaximus/LVSingleLegStandingLegPress,Gluteus Maximus,Quadriceps; Adductor Magnus,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Coracobrachialis,Hamstrings,,,,,,,,,,,,,,,,,,,,,,,
Lever Squat,https://exrx.net/WeightExercises/GluteusMaximus/LVSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever V-Squat,https://exrx.net/WeightExercises/GluteusMaximus/LVVSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Sled Kneeling Glute Kickback,https://exrx.net/WeightExercises/GluteusMaximus/SLKneelingHipExtension,Gluteus Maximus,Adductor Magnus,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus,Hamstrings,,,,,,,,,,,,,,,,,,,,,,,
Sled Standing Glute Kickback,https://exrx.net/WeightExercises/GluteusMaximus/SLStandingHipExtension,Gluteus Maximus,Quadriceps; Adductor Magnus,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus,Hamstrings,,,,,,,,,,,,,,,,,,,,,,,
Sled 45° Leg Press,https://exrx.net/WeightExercises/GluteusMaximus/SL45LegPress,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,,,,,
Sled Lying Leg Press,https://exrx.net/WeightExercises/GluteusMaximus/SLLyingLegPress,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,,,,,
